Category,Metric,N_Questions,Raw_Mean,RAG_Mean,Improvement,Improvement_Percent,P_Value,Significant,Effect_Size,Questions_Improved,Total_Questions
Genetic Variant Interpretation,Semantic Similarity,5,0.5441131055355072,0.611462128162384,0.06734902262687681,12.377761524525862,0.2249590753394015,False,0.4615221302900798,4,5
Genetic Variant Interpretation,Answer Length,5,155.8,204.0,48.19999999999999,30.93709884467265,0.009738844412338587,True,3.2563107987808073,5,5
Genetic Variant Interpretation,Flesch Reading Ease,5,36.068,29.979999999999997,-6.088000000000001,-16.879228124653437,0.37747225521080474,False,-0.6816752903468616,2,5
Genetic Variant Interpretation,Flesch Kincaid Grade,5,13.180000000000001,14.26,1.0799999999999983,8.194233687405147,0.5137583120246936,False,0.5266726370217034,2,5
Genetic Variant Interpretation,Sentiment Polarity,5,0.10186843870415296,0.1204151211533564,0.018546682449203433,18.206505061952345,0.5039880936637046,False,0.37810834456550496,3,5
Genetic Variant Interpretation,Sentiment Subjectivity,5,0.4815898014683729,0.4739618806574688,-0.007627920810904076,-1.5839041415840738,0.8971469220622621,False,-0.08687726798152584,2,5
Genetic Variant Interpretation,BERTScore Precision,5,0.722123670578003,0.7296510219573975,0.007527351379394531,1.0423908931512356,0.4830032764063054,False,0.23535430786451852,3,5
Genetic Variant Interpretation,BERTScore Recall,5,0.819653308391571,0.8370229125022888,0.01736960411071775,2.1191403649431515,0.20114017866838205,False,0.9332204675915361,4,5
Genetic Variant Interpretation,BERTScore F1,5,0.7671744465827942,0.7792603373527527,0.012085890769958474,1.5753771288645433,0.05330324226525031,False,0.748622743841053,4,5
Inheritance Patterns,Semantic Similarity,7,0.510338768362999,0.427337819976466,-0.08300094838653294,-16.263892443988336,0.3858955843133123,False,-0.3292614736498938,4,7
Inheritance Patterns,Answer Length,7,141.57142857142858,177.85714285714286,36.28571428571428,25.63067608476286,0.18994930961691392,False,0.7368946288433852,5,7
Inheritance Patterns,Flesch Reading Ease,7,35.49,17.95714285714286,-17.532857142857143,-49.40224610554281,0.20762105119147342,False,-0.7510916557688545,1,7
Inheritance Patterns,Flesch Kincaid Grade,7,13.900000000000002,15.57142857142857,1.6714285714285673,12.024665981500481,0.35204274901136634,False,0.5707430249590275,5,7
Inheritance Patterns,Sentiment Polarity,7,0.07198993049556957,0.08428520966467391,0.012295279169104348,17.079165217225803,0.7932730181217968,False,0.13257370528464715,4,7
Inheritance Patterns,Sentiment Subjectivity,7,0.3992948386432095,0.43068861446093587,0.031393775817726344,7.862304437593369,0.5418548375153893,False,0.27308014669952163,5,7
Inheritance Patterns,BERTScore Precision,7,0.7130967974662781,0.6872670735631671,-0.025829723903111,-3.6221904227991533,0.3395517355468045,False,-0.4520995997937461,2,7
Inheritance Patterns,BERTScore Recall,7,0.8120448674474444,0.7851894923618862,-0.026855375085558242,-3.3071294656383405,0.41087757248321805,False,-0.33997427838968697,1,7
Inheritance Patterns,BERTScore F1,7,0.7584224173000881,0.731735076223101,-0.026687341076987114,-3.5187964474984166,0.3635680816381864,False,-0.4479155548139604,1,7
Family Risk Assessment,Semantic Similarity,11,0.5205815244804729,0.5990318872711875,0.0784503627907146,15.069755475668497,0.04439753878125778,True,0.5380766439855321,9,11
Family Risk Assessment,Answer Length,11,149.8181818181818,216.36363636363637,66.54545454545456,44.41747572815535,2.7167771551976854e-06,True,1.8579643703844522,11,11
Family Risk Assessment,Flesch Reading Ease,11,41.06636363636363,32.71272727272728,-8.353636363636355,-20.341797091182766,0.09658745457674214,False,-0.885812223403465,4,11
Family Risk Assessment,Flesch Kincaid Grade,11,12.52727272727273,13.47272727272727,0.9454545454545418,7.547169811320724,0.21244853720614806,False,0.5794577792018888,8,11
Family Risk Assessment,Sentiment Polarity,11,0.11366087969187962,0.14061691931969378,0.026956039627814163,23.716198309293933,0.5278515589623787,False,0.315176083539309,9,11
Family Risk Assessment,Sentiment Subjectivity,11,0.4484863938875003,0.5102480050267338,0.06176161113923356,13.771122598364943,0.06008382116709604,False,0.955184340197966,7,11
Family Risk Assessment,BERTScore Precision,11,0.7228799570690502,0.7348123734647577,0.011932416395707524,1.6506774436087632,0.12999738899511556,False,0.3309159322027797,7,11
Family Risk Assessment,BERTScore Recall,11,0.7783620411699469,0.8043907447294756,0.026028703559528688,3.34403557506546,0.03695348407545786,True,1.017015112096644,9,11
Family Risk Assessment,BERTScore F1,11,0.749131132255901,0.7674621939659119,0.018331061710010865,2.446976359774223,0.05251649209718656,False,0.7641958992950051,8,11
Gene-Specific Recommendations,Semantic Similarity,14,0.616149827837944,0.6627582332917622,0.04660840545381817,7.5644597057449525,0.2444155241985375,False,0.37882125006346895,9,14
Gene-Specific Recommendations,Answer Length,14,145.28571428571428,199.35714285714286,54.071428571428584,37.21730580137661,2.64225910540511e-07,True,2.247275838542733,14,14
Gene-Specific Recommendations,Flesch Reading Ease,14,28.737857142857138,31.809285714285714,3.0714285714285765,10.68774389183011,0.3266306771766636,False,0.33710127134847995,7,14
Gene-Specific Recommendations,Flesch Kincaid Grade,14,15.557142857142855,13.792857142857143,-1.7642857142857125,-11.340679522497695,0.007048790093757075,True,-1.0350392882154693,3,14
Gene-Specific Recommendations,Sentiment Polarity,14,0.10557116818570642,0.06451765379127225,-0.041053514394434165,-38.88705136066925,0.23235442982166507,False,-0.5145420769665033,4,14
Gene-Specific Recommendations,Sentiment Subjectivity,14,0.41688617426018404,0.39983899758139796,-0.01704717667878608,-4.089168154602008,0.45593114547022573,False,-0.19305784251995556,6,14
Gene-Specific Recommendations,BERTScore Precision,14,0.7723582557269505,0.7675471816744123,-0.004811074052538222,-0.6229070534126675,0.7763565730256105,False,-0.09916358752158039,9,14
Gene-Specific Recommendations,BERTScore Recall,14,0.7675725604806628,0.7866060520921435,0.019033491611480713,2.4796993263492535,0.04150242382772115,True,0.5852522313425655,11,14
Gene-Specific Recommendations,BERTScore F1,14,0.7694706065314156,0.7764241397380829,0.006953533206667251,0.9036775606039157,0.5731757556874009,False,0.1923989422347294,11,14
Support and Resources,Semantic Similarity,12,0.4560615246494611,0.6004860599835714,0.14442453533411032,31.66777452781578,0.015351264032948904,True,1.0015023329098287,11,12
Support and Resources,Answer Length,12,143.0,224.33333333333334,81.33333333333334,56.876456876456885,0.001459369384165417,True,1.8733089306506407,11,12
Support and Resources,Flesch Reading Ease,12,33.034166666666664,31.668333333333333,-1.365833333333331,-4.134608107767204,0.7052832526684585,False,-0.10027626626187489,6,12
Support and Resources,Flesch Kincaid Grade,12,14.266666666666666,13.566666666666668,-0.6999999999999975,-4.906542056074749,0.3028681810493442,False,-0.2700552191614805,5,12
Support and Resources,Sentiment Polarity,12,0.16384106355910863,0.11479892598172821,-0.04904213757738042,-29.932750991748524,0.18015107119569077,False,-0.5028467839368687,4,12
Support and Resources,Sentiment Subjectivity,12,0.45108364015814945,0.43905397163505816,-0.012029668523091286,-2.666837688654303,0.6940046334670367,False,-0.15074617815471278,7,12
Support and Resources,BERTScore Precision,12,0.7066477040449778,0.7132411698500315,0.006593465805053711,0.9330626516312915,0.4145583172005177,False,0.21690658973197746,10,12
Support and Resources,BERTScore Recall,12,0.7538921236991882,0.7688768357038498,0.01498471200466156,1.9876467114598264,0.00798473002218895,True,0.30038684110095376,10,12
Support and Resources,BERTScore F1,12,0.7280971060196558,0.7394450207551321,0.01134791473547625,1.5585716028336885,0.018550129238499226,True,0.3763674608194185,9,12
